,GS,IP,H,R,ER,BB,SO,HR,HBP,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Date,Team,Home_Away
0,6.0,50.5,42.0,12.0,12.0,17.0,60.0,1.0,4.0,194.0,10.0,2.0,0.0,4.0,3.0,2.0,0.0,0.0,218.0,2022-04-16,SFN,1
0,6.0,50.9,43.0,26.0,26.0,22.0,47.0,9.0,1.0,200.0,12.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,225.0,2022-04-16,MIN,1
0,7.0,58.60000000000001,46.0,17.0,15.0,24.0,62.0,6.0,4.0,235.0,9.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,268.0,2022-04-16,NYA,1
0,6.0,47.5,51.0,29.0,29.0,20.0,46.0,9.0,0.0,198.0,10.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,219.0,2022-04-16,CHN,1
0,7.0,57.8,49.0,25.0,23.0,30.0,62.0,5.0,3.0,229.0,10.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,266.0,2022-04-16,MIL,1
0,5.0,41.2,43.0,21.0,21.0,10.0,45.0,6.0,1.0,172.0,7.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,183.0,2022-04-16,SLN,1
0,7.0,57.8,64.0,40.0,35.0,20.0,69.0,8.0,4.0,247.0,13.0,0.0,0.0,2.0,2.0,5.0,1.0,1.0,273.0,2022-04-16,ATL,1
0,7.0,56.60000000000001,60.0,26.0,24.0,20.0,59.0,9.0,1.0,244.0,13.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,265.0,2022-04-16,OAK,1
0,5.0,41.5,39.0,26.0,21.0,22.0,33.0,8.0,3.0,166.0,4.0,1.0,1.0,3.0,6.0,3.0,1.0,0.0,197.0,2022-04-16,ARI,1
0,6.0,50.2,42.0,27.0,25.0,20.0,50.0,5.0,1.0,201.0,6.0,0.0,3.0,2.0,1.0,5.0,1.0,0.0,223.0,2022-04-16,LAA,1
0,6.0,46.8,60.0,37.0,36.0,22.0,49.0,10.0,4.0,202.0,8.0,4.0,0.0,5.0,3.0,6.0,4.0,0.0,231.0,2022-04-16,CIN,1
0,6.0,51.2,47.0,23.0,23.0,25.0,43.0,5.0,1.0,199.0,9.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,229.0,2022-04-16,PIT,1
0,6.0,49.39999999999999,51.0,23.0,20.0,23.0,47.0,2.0,2.0,205.0,15.0,1.0,0.0,6.0,1.0,2.0,4.0,0.0,233.0,2022-04-16,BAL,1
0,6.0,49.2,40.0,21.0,19.0,20.0,65.0,5.0,2.0,189.0,11.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,214.0,2022-04-16,NYN,1
0,7.0,57.10000000000001,54.0,37.0,30.0,24.0,67.0,8.0,2.0,237.0,11.0,1.0,1.0,3.0,0.0,4.0,1.0,2.0,263.0,2022-04-16,TBA,1
