,Date,Team,Opp,Home_Away,PA_Bat,AB_Bat,R_Bat,H_Bat,2B_Bat,3B_Bat,HR_Bat,RBI_Bat,BB_Bat,IBB_Bat,SO_Bat,HBP_Bat,SH_Bat,SF_Bat,GDP_Bat,SB_Bat,CS_Bat
0,"Apr 10, 2022",MIN,SEA,0,38,35,10,10,1,0,6,10,3,0,9,0,0,0,0,0,0
0,"Apr 10, 2022",TEX,TOR,1,45,37,12,11,2,0,3,12,7,0,10,0,0,1,0,1,0
0,"Apr 10, 2022",PHI,OAK,0,32,29,1,3,0,0,1,1,3,0,7,0,0,0,1,0,0
0,"Apr 10, 2022",SFN,MIA,0,31,29,3,6,2,0,0,3,1,0,5,0,0,1,1,0,0
0,"Apr 10, 2022",PIT,SLN,1,44,41,9,15,3,0,1,7,3,0,10,0,0,0,2,0,0
0,"Apr 10, 2022",SEA,MIN,1,37,33,4,7,2,0,1,4,4,0,8,0,0,0,0,0,0
0,"Apr 10, 2022",NYA,BOS,0,41,36,3,11,2,0,0,3,4,0,9,1,0,0,2,1,0
0,"Apr 10, 2022",CIN,ATL,1,40,34,6,7,2,0,1,6,6,0,10,0,0,0,0,1,0
0,"Apr 10, 2022",CHN,MIL,0,36,30,4,4,1,0,1,3,6,0,13,0,0,0,1,1,1
0,"Apr 11, 2022",MIL,BAL,1,36,32,0,6,2,0,0,0,4,0,9,0,0,0,1,1,0
0,"Apr 11, 2022",LAA,MIA,0,36,30,6,7,2,0,2,6,6,0,7,0,0,0,0,1,1
0,"Apr 11, 2022",MIA,LAA,1,30,30,2,3,1,0,2,2,0,0,11,0,0,0,0,0,0
0,"Apr 11, 2022",ATL,WSN,0,34,31,2,4,1,0,0,2,3,0,8,0,0,0,0,0,0
0,"Apr 11, 2022",NYN,PHI,1,37,33,4,7,0,0,0,4,3,0,6,0,1,0,2,1,0
0,"Apr 11, 2022",OAK,TBA,1,45,41,13,13,2,1,4,12,3,0,8,1,0,0,1,0,0
0,"Apr 11, 2022",BOS,DET,1,31,31,1,4,1,0,1,1,0,0,5,0,0,0,0,0,0
