,Date,Tm,Home_Away,Opp,W/L
120,"Aug 20, 2022",LAA,@,DET,0
121,"Aug 21, 2022",LAA,@,DET,0
122,"Aug 22, 2022",LAA,@,TBA,0
123,"Aug 23, 2022",LAA,@,TBA,0
124,"Aug 24, 2022",LAA,@,TBA,0
125,"Aug 25, 2022",LAA,@,TBA,0
126,"Aug 26, 2022",LAA,@,TOR,1
127,"Aug 27, 2022",LAA,@,TOR,1
128,"Aug 28, 2022",LAA,@,TOR,1
129,"Aug 29, 2022",LAA,Home,NYA,1
130,"Aug 30, 2022",LAA,Home,NYA,0
131,"Aug 31, 2022",LAA,Home,NYA,1
132,"Sep 2, 2022",LAA,Home,HOU,0
133,"Sep 3, 2022",LAA,Home,HOU,1
134,"Sep 4, 2022",LAA,Home,HOU,0
135,"Sep 5, 2022",LAA,Home,DET,1
136,"Sep 6, 2022",LAA,Home,DET,1
137,"Sep 7, 2022",LAA,Home,DET,0
138,"Sep 9, 2022",LAA,@,HOU,0
139,"Sep 10, 2022",LAA,@,HOU,1
140,"Sep 11, 2022",LAA,@,HOU,0
141,"Sep 12, 2022",LAA,@,CLE,0
142,"Sep 13, 2022",LAA,@,CLE,0
143,"Sep 14, 2022",LAA,@,CLE,0
144,"Sep 16, 2022",LAA,Home,SEA,1
145,"Sep 17, 2022",LAA,Home,SEA,1
146,"Sep 18, 2022",LAA,Home,SEA,1
147,"Sep 19, 2022",LAA,Home,SEA,0
148,"Sep 20, 2022",LAA,@,TEX,1
149,"Sep 21, 2022",LAA,@,TEX,0
150,"Sep 22, 2022",LAA,@,TEX,0
151,"Sep 23, 2022",LAA,@,MIN,1
152,"Sep 24, 2022",LAA,@,MIN,0
153,"Sep 25, 2022",LAA,@,MIN,1
154,"Sep 27, 2022",LAA,Home,OAK,1
155,"Sep 28, 2022",LAA,Home,OAK,1
156,"Sep 29, 2022",LAA,Home,OAK,1
157,"Sep 30, 2022",LAA,Home,TEX,1
158,"Oct 1, 2022",LAA,Home,TEX,1
159,"Oct 2, 2022",LAA,Home,TEX,1
160,"Oct 3, 2022",LAA,@,OAK,0
161,"Oct 4, 2022",LAA,@,OAK,0
162,"Oct 5, 2022",LAA,@,OAK,0
1,"Apr 7, 2022",ATL,Home,CIN,0
2,"Apr 8, 2022",ATL,Home,CIN,1
3,"Apr 9, 2022",ATL,Home,CIN,1
4,"Apr 10, 2022",ATL,Home,CIN,0
5,"Apr 11, 2022",ATL,Home,WSN,0
6,"Apr 12, 2022",ATL,Home,WSN,1
7,"Apr 13, 2022",ATL,Home,WSN,0
8,"Apr 14, 2022",ATL,@,SDN,0
9,"Apr 15, 2022",ATL,@,SDN,1
10,"Apr 16, 2022",ATL,@,SDN,1
11,"Apr 17, 2022",ATL,@,SDN,0
12,"Apr 18, 2022",ATL,@,LAN,0
13,"Apr 19, 2022",ATL,@,LAN,1
14,"Apr 20, 2022",ATL,@,LAN,0
15,"Apr 22, 2022",ATL,Home,MIA,1
16,"Apr 23, 2022",ATL,Home,MIA,0
17,"Apr 24, 2022",ATL,Home,MIA,0
18,"Apr 26, 2022",ATL,Home,CHN,1
19,"Apr 27, 2022",ATL,Home,CHN,0
20,"Apr 28, 2022",ATL,Home,CHN,1
21,"Apr 29, 2022",ATL,@,TEX,1
22,"Apr 30, 2022",ATL,@,TEX,0
23,"May 1, 2022",ATL,@,TEX,0
24,"May 2, 2022",ATL,@,NYN,1
25,"May 3, 2022",ATL,@,NYN,0
26,"May 3, 2022",ATL,@,NYN,0
27,"May 4, 2022",ATL,@,NYN,1
28,"May 6, 2022",ATL,Home,MIL,0
29,"May 7, 2022",ATL,Home,MIL,1
30,"May 8, 2022",ATL,Home,MIL,1
31,"May 10, 2022",ATL,Home,BOS,0
32,"May 11, 2022",ATL,Home,BOS,1
33,"May 13, 2022",ATL,Home,SDN,0
34,"May 14, 2022",ATL,Home,SDN,1
35,"May 15, 2022",ATL,Home,SDN,0
36,"May 16, 2022",ATL,@,MIL,0
37,"May 17, 2022",ATL,@,MIL,1
38,"May 18, 2022",ATL,@,MIL,0
39,"May 20, 2022",ATL,@,MIA,1
40,"May 21, 2022",ATL,@,MIA,1
41,"May 22, 2022",ATL,@,MIA,0
42,"May 23, 2022",ATL,Home,PHI,0
43,"May 24, 2022",ATL,Home,PHI,1
44,"May 25, 2022",ATL,Home,PHI,1
45,"May 26, 2022",ATL,Home,PHI,0
46,"May 27, 2022",ATL,Home,MIA,1
47,"May 28, 2022",ATL,Home,MIA,0
48,"May 29, 2022",ATL,Home,MIA,1
49,"May 30, 2022",ATL,@,ARI,0
50,"May 31, 2022",ATL,@,ARI,0
51,"Jun 1, 2022",ATL,@,ARI,1
52,"Jun 2, 2022",ATL,@,COL,1
53,"Jun 3, 2022",ATL,@,COL,1
54,"Jun 4, 2022",ATL,@,COL,1
55,"Jun 5, 2022",ATL,@,COL,1
56,"Jun 7, 2022",ATL,Home,OAK,1
57,"Jun 8, 2022",ATL,Home,OAK,1
58,"Jun 9, 2022",ATL,Home,PIT,1
59,"Jun 10, 2022",ATL,Home,PIT,1
60,"Jun 11, 2022",ATL,Home,PIT,1
61,"Jun 12, 2022",ATL,Home,PIT,1
62,"Jun 13, 2022",ATL,@,WSN,1
63,"Jun 14, 2022",ATL,@,WSN,1
64,"Jun 15, 2022",ATL,@,WSN,1
65,"Jun 17, 2022",ATL,@,CHN,0
66,"Jun 18, 2022",ATL,@,CHN,0
67,"Jun 19, 2022",ATL,@,CHN,1
68,"Jun 20, 2022",ATL,Home,SFN,1
69,"Jun 21, 2022",ATL,Home,SFN,0
70,"Jun 22, 2022",ATL,Home,SFN,1
71,"Jun 23, 2022",ATL,Home,SFN,1
72,"Jun 24, 2022",ATL,Home,LAN,0
73,"Jun 25, 2022",ATL,Home,LAN,1
74,"Jun 26, 2022",ATL,Home,LAN,0
75,"Jun 28, 2022",ATL,@,PHI,1
76,"Jun 29, 2022",ATL,@,PHI,1
77,"Jun 30, 2022",ATL,@,PHI,0
78,"Jul 1, 2022",ATL,@,CIN,1
79,"Jul 2, 2022",ATL,@,CIN,1
80,"Jul 3, 2022",ATL,@,CIN,0
81,"Jul 4, 2022",ATL,Home,SLN,1
82,"Jul 5, 2022",ATL,Home,SLN,1
83,"Jul 6, 2022",ATL,Home,SLN,1
84,"Jul 7, 2022",ATL,Home,SLN,0
85,"Jul 8, 2022",ATL,Home,WSN,1
86,"Jul 9, 2022",ATL,Home,WSN,1
87,"Jul 10, 2022",ATL,Home,WSN,1
88,"Jul 11, 2022",ATL,Home,NYN,0
89,"Jul 12, 2022",ATL,Home,NYN,1
90,"Jul 13, 2022",ATL,Home,NYN,0
91,"Jul 14, 2022",ATL,@,WSN,1
92,"Jul 15, 2022",ATL,@,WSN,1
93,"Jul 16, 2022",ATL,@,WSN,1
94,"Jul 17, 2022",ATL,@,WSN,0
95,"Jul 22, 2022",ATL,Home,LAA,1
96,"Jul 23, 2022",ATL,Home,LAA,1
97,"Jul 24, 2022",ATL,Home,LAA,0
98,"Jul 25, 2022",ATL,@,PHI,0
99,"Jul 26, 2022",ATL,@,PHI,1
100,"Jul 27, 2022",ATL,@,PHI,0
101,"Jul 29, 2022",ATL,Home,ARI,1
102,"Jul 30, 2022",ATL,Home,ARI,1
103,"Jul 31, 2022",ATL,Home,ARI,1
104,"Aug 2, 2022",ATL,Home,PHI,1
105,"Aug 3, 2022",ATL,Home,PHI,0
106,"Aug 4, 2022",ATL,@,NYN,0
107,"Aug 5, 2022",ATL,@,NYN,1
108,"Aug 6, 2022",ATL,@,NYN,0
109,"Aug 6, 2022",ATL,@,NYN,0
110,"Aug 7, 2022",ATL,@,NYN,0
111,"Aug 9, 2022",ATL,@,BOS,1
112,"Aug 10, 2022",ATL,@,BOS,1
113,"Aug 12, 2022",ATL,@,MIA,1
114,"Aug 13, 2022",ATL,@,MIA,1
115,"Aug 13, 2022",ATL,@,MIA,1
116,"Aug 14, 2022",ATL,@,MIA,1
117,"Aug 15, 2022",ATL,Home,NYN,1
118,"Aug 16, 2022",ATL,Home,NYN,1
119,"Aug 17, 2022",ATL,Home,NYN,0
120,"Aug 18, 2022",ATL,Home,NYN,1
121,"Aug 19, 2022",ATL,Home,HOU,1
122,"Aug 20, 2022",ATL,Home,HOU,1
123,"Aug 21, 2022",ATL,Home,HOU,0
124,"Aug 22, 2022",ATL,@,PIT,1
125,"Aug 23, 2022",ATL,@,PIT,1
126,"Aug 24, 2022",ATL,@,PIT,1
127,"Aug 26, 2022",ATL,@,SLN,1
128,"Aug 27, 2022",ATL,@,SLN,0
129,"Aug 28, 2022",ATL,@,SLN,0
130,"Aug 30, 2022",ATL,Home,COL,0
131,"Aug 31, 2022",ATL,Home,COL,1
132,"Sep 1, 2022",ATL,Home,COL,1
133,"Sep 2, 2022",ATL,Home,MIA,1
134,"Sep 3, 2022",ATL,Home,MIA,1
135,"Sep 4, 2022",ATL,Home,MIA,1
136,"Sep 6, 2022",ATL,@,OAK,1
137,"Sep 7, 2022",ATL,@,OAK,1
138,"Sep 9, 2022",ATL,@,SEA,1
139,"Sep 10, 2022",ATL,@,SEA,0
140,"Sep 11, 2022",ATL,@,SEA,0
141,"Sep 12, 2022",ATL,@,SFN,0
142,"Sep 13, 2022",ATL,@,SFN,1
143,"Sep 14, 2022",ATL,@,SFN,0
144,"Sep 16, 2022",ATL,Home,PHI,1
145,"Sep 17, 2022",ATL,Home,PHI,1
146,"Sep 18, 2022",ATL,Home,PHI,1
147,"Sep 19, 2022",ATL,Home,WSN,1
148,"Sep 20, 2022",ATL,Home,WSN,1
149,"Sep 21, 2022",ATL,Home,WSN,0
150,"Sep 22, 2022",ATL,@,PHI,0
151,"Sep 23, 2022",ATL,@,PHI,0
152,"Sep 24, 2022",ATL,@,PHI,1
